Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
CORII RKEF,Central Omega Resources,-1.93869141224428,121.320296797426,300000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0157638010065162,0.0136296248702494,-0.0013823640882637,-0.0090945005806824,768.3155350568258,0.2303940147106215,0.4729140301954863,-0.541450186571509
Century Metalindo,Century Metalindo,-6.18810173266052,106.315206339778,481000.0,0.0,0.0,29.5,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Century Metalindo,Century Metalindo,-6.18810173266052,106.315206339778,481000.0,0.0,0.0,29.5,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceria Nugraha Indotama (RKEF) / Merah Putih smelter,PT Ceria Nugraha Indotama,-3.85415246173602,121.297981864151,5636000.0,0.0,0.0,350.0,0.0,0.0,60.0,1,0.2655367165859658,0.2023720934719831,0.1033762209077662,0.0462564785078818,4549.543678667359,1.35790798650032,1.96239605791014,-34.51889708650684
Ceria Nugraha Indotama (RKEF) / Merah Putih smelter,PT Ceria Nugraha Indotama,-3.85415246173602,121.297981864151,5636000.0,0.0,0.0,350.0,0.0,0.0,66.0,9,-0.0171709655067137,-0.0216389208171341,-0.007271378250292,-0.0566817075655294,45495.43678667359,13.579079865003198,19.6239605791014,-10.285933980322744
Fajar Bhakti Lintas Nusantara,PT Pengda Mining Indonesia,-0.0695553166834322,129.3921427,1065600.0,300.0,0.0,0.0,0.0,0.0,60.0,1,3.8321976904538615,0.0248118982871729,0.0142191263261106,0.0010306480826979,184.56044249779515,0.0171774680449658,0.0334006323096558,-0.1480125163207893
Fajar Bhakti Lintas Nusantara,PT Pengda Mining Indonesia,-0.0695553166834322,129.3921427,1065600.0,300.0,0.0,0.0,0.0,0.0,66.0,9,-9.543037802758826e-05,-0.0067755568399587,-0.0002385759450689,-4.771518901379413e-05,1845.6044249779516,0.1717746804496588,0.3340063230965588,-0.1296898837394924
Fajar Metal Industry Excelsior Nickel Cobalt Project,Perpetual Power Technology Group Ltd.,-2.83822430529276,122.117733364886,8000000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.7661168074207108,3.289635895026144,12.871689247747426,10.370703007419072,2531.389603409661,0.759085280610842,1.558122418095939,-0.0874146628408696
Fajar Metal Industry Excelsior Nickel Cobalt Project,Perpetual Power Technology Group Ltd.,-2.83822430529276,122.117733364886,8000000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.519374139365313,0.4490588712666244,-0.0455451168366505,-0.2996389265569113,25313.89603409661,7.59085280610842,15.581224180959389,-17.839303131492272
Gebe Industry Nickel,Gebe Industry Nickel,-7.13215,112.61242,1320000.0,0.0,1.6,0.276,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gebe Industry Nickel,Gebe Industry Nickel,-7.13215,112.61242,1320000.0,0.0,1.6,0.276,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Growth Java Industri,Growth Java Industri,-6.02916664481287,105.954452028205,546000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Growth Java Industri,Growth Java Industri,-6.02916664481287,105.954452028205,546000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunbuster Nickel Industry,Gunbuster Nickel Industry,-2.00042547039831,121.43504311042,21600000.0,2295.0,0.0,0.0,0.0,0.0,60.0,1,1.756588555241917,7.542631499719413,29.512812929069717,23.77843435386404,5804.088832325986,1.7404663407173773,3.572536173051459,-0.2004284396573485
Gunbuster Nickel Industry,Gunbuster Nickel Industry,-2.00042547039831,121.43504311042,21600000.0,2295.0,0.0,0.0,0.0,0.0,66.0,9,1.1908453910171528,1.0296232457717536,-0.1044279804430426,-0.6870261871252804,58040.88832325986,17.40466340717377,35.725361730514585,-40.9027910766907
Halmahera Persada Lygend,Harita Nickel and Lygend Resources,-1.53887378195392,127.420130725153,8500000.0,1250.0,0.0,0.0,0.0,0.0,60.0,1,38.32189986186246,0.2481184840522011,0.142190977399146,0.0103064601067837,1845.600714566446,0.1717743351130623,0.3340056516087322,-1.4801221875575534
Halmahera Persada Lygend,Harita Nickel and Lygend Resources,-1.53887378195392,127.420130725153,8500000.0,1250.0,0.0,0.0,0.0,0.0,66.0,9,-0.0009543018617392,-0.0677554321834856,-0.002385754654348,-0.0004771509308696,18456.00714566446,1.717743351130623,3.3400565160873223,-1.2968962301036204
Heng Tai Yuan Indonesia,Heng Tai Yuan Indonesia,-6.0008994834225,106.019090624431,400000.0,12.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heng Tai Yuan Indonesia,Heng Tai Yuan Indonesia,-6.0008994834225,106.019090624431,400000.0,12.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hengjaya Nickel Industry,Nickel Industries,-2.84720726843122,122.164215585423,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.1719380297694584,0.7382862625791203,2.8887669186026352,2.3274756866685453,568.1145965906685,0.1703599585742444,0.3496862307576596,-0.0196182941768656
Hengjaya Nickel Industry,Nickel Industries,-2.84720726843122,122.164215585423,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.1165620769192198,0.1007813649670793,-0.0102215975144546,-0.0672473520687806,5681.145965906685,1.7035995857424442,3.496862307576596,-4.003638352766927
Huadi Nickel-Alloy Indonesia,Shanghai Huadi Industry Co. Ltd.,-5.57950003433346,120.065774009083,522000.0,0.0,0.0,390.0,0.0,0.0,60.0,1,0.0118392816735367,0.0090230091276376,0.0046091561777543,0.0020624020863171,202.84701035068872,0.0605440006399931,0.0874958460861836,-1.5390675569141994
Huadi Nickel-Alloy Indonesia,Shanghai Huadi Industry Co. Ltd.,-5.57950003433346,120.065774009083,522000.0,0.0,0.0,390.0,0.0,0.0,66.0,9,-0.0007655886532541,-0.0009647979456824,-0.0003242033582657,-0.00252722376865,2028.470103506887,0.6054400063999312,0.8749584608618362,-0.4586110396865543
Huake Nickel Indonesia,Zheijhang Huayou Cobalt,0.487095939709902,127.993195587294,3600000.0,250.0,0.0,0.0,0.0,0.0,60.0,1,22.60267263899407,0.1463429759727683,0.0838657823843941,0.0060788620788688,1088.5553410454404,0.1013143679811473,0.197000159963342,-0.8729921374375527
Huake Nickel Indonesia,Zheijhang Huayou Cobalt,0.487095939709902,127.993195587294,3600000.0,250.0,0.0,0.0,0.0,0.0,66.0,9,-0.0005628575998952,-0.0399628895925636,-0.0014071439997381,-0.0002814287999476,10885.553410454404,1.0131436798114732,1.97000159963342,-0.7649234782576622
Huayue Nickel Cobalt,Zhiejhang Huayou Cobalt Co. Ltd.,-2.85111166723729,122.180043120576,8000000.0,250.0,0.0,0.0,0.0,0.0,60.0,1,0.7633115255860115,3.27759026995996,12.82455711896648,10.332728713580352,2522.1204407934547,0.7563057460437119,1.5524170576686718,-0.0870945774917706
Huayue Nickel Cobalt,Zhiejhang Huayou Cobalt Co. Ltd.,-2.85111166723729,122.180043120576,8000000.0,250.0,0.0,0.0,0.0,0.0,66.0,9,0.5174723525562239,0.4474145571332275,-0.0453783447626227,-0.2985417418593599,25221.204407934543,7.563057460437119,15.524170576686718,-17.773981143338855
GO STAL Nickel Indonesia,PT Trinitan Resourcetama Indonesia,-6.44227180460602,106.935760532311,300000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO STAL Nickel Indonesia,PT Trinitan Resourcetama Indonesia,-6.44227180460602,106.935760532311,300000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia Guang Ching Nickel and SSI,Indonesia Guang Ching Nickel SSI,-2.82831965030396,122.162319664885,7200000.0,300.0,0.0,0.0,0.0,0.0,60.0,1,0.6885425539682036,2.9565391058480337,11.56834793687296,9.320602636580428,2275.0701273456066,0.6822230144657838,1.4003525033771351,-0.0785633660869018
Indonesia Guang Ching Nickel and SSI,Indonesia Guang Ching Nickel SSI,-2.82831965030396,122.162319664885,7200000.0,300.0,0.0,0.0,0.0,0.0,66.0,9,0.4667841677923784,0.4035887727681795,-0.040933380867947,-0.2692985583417567,22750.701273456067,6.822230144657838,14.003525033771352,-16.03295896943483
Indonesia Ruipu Nickel and Chrome Alloy,Ruipu Technology Group Co. Ltd.,-2.82843198390823,122.165753669219,3600000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.3442067698640795,1.477992565217371,5.783090170776448,4.65942810394857,1137.321920387878,0.3410475921682057,0.7000450576084223,-0.0392743227191596
Indonesia Ruipu Nickel and Chrome Alloy,Ruipu Technology Group Co. Ltd.,-2.82843198390823,122.165753669219,3600000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.2333483525361407,0.2017565755774016,-0.0204628555300923,-0.1346240495400812,11373.21920387878,3.410475921682057,7.000450576084222,-8.014977413418274
Indonesia Tsingshan Stainless Steel,Indonesia Tsingshan Stainless Steel,-2.83238130604301,122.161456778463,8100000.0,1400.0,0.0,0.0,0.0,0.0,60.0,1,0.7744797474124534,3.32554559876624,13.012196757475191,10.48390972222177,2559.022281800191,0.7673714643740412,1.5751309005572427,-0.0883688823184422
Indonesia Tsingshan Stainless Steel,Indonesia Tsingshan Stainless Steel,-2.83238130604301,122.161456778463,8100000.0,1400.0,0.0,0.0,0.0,0.0,66.0,9,0.5250436335190809,0.4539608031349592,-0.0460422878624424,-0.3029097885687005,25590.22281800191,7.6737146437404125,15.751309005572429,-18.034037172226157
