Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,GHG_Intensity,Tahun,Agri_Loss_RpMiliar
Tsingshan Steel Indonesia,Tsingshan Steel Indonesia,-2.83150301383204,122.168885300445,1800000.0,130.0,66.0,9,-3676.259432576124
Vale Indonesia (Sorowako RKEF),PT Vale Indonesia,-2.57149,121.37843,12970000.0,,28.7,1,-120.28352433345026
Vale Indonesia (Sorowako RKEF),PT Vale Indonesia,-2.57149,121.37843,12970000.0,,31.57,9,-24504.665375079167
Virtue Dragon Nickel Industry (VDNI),Virtue Dragon Nickel Industry,-3.9072272057542,122.417022046513,10000000.0,530.0,60.0,1,-78.79987035408504
Virtue Dragon Nickel Industry (VDNI),Virtue Dragon Nickel Industry,-3.9072272057542,122.417022046513,10000000.0,530.0,66.0,9,-15888.53931951292
Walsin Nickel Industrial Indonesia,PT Walsin Nickel Industrial Indonesia,-2.8577087407882,122.159837893722,1260000.0,350.0,60.0,1,-12.606771327178185
Walsin Nickel Industrial Indonesia,PT Walsin Nickel Industrial Indonesia,-2.8577087407882,122.159837893722,1260000.0,350.0,66.0,9,-2710.453403149712
Wanatiara Persada,Mining Metallurgy Ltd.,-1.4590046405692,127.438374798906,2200000.0,150.0,60.0,1,-0.09639005681253907
Wanatiara Persada,Mining Metallurgy Ltd.,-1.4590046405692,127.438374798906,2200000.0,150.0,66.0,9,-19.21108991281311
Wanxiang Nickel Indonesia,Wanxiang Nickel Indonesia,-2.7385893251359,122.028568769438,3500000.0,150.0,60.0,1,-37.229836168407466
Wanxiang Nickel Indonesia,Wanxiang Nickel Indonesia,-2.7385893251359,122.028568769438,3500000.0,150.0,66.0,9,-7814.255335443591
Weda Bay Nickel,Strand Minerals Indonesia,0.48075,127.99338,2700000.0,250.0,60.0,1,-0.007563636795752923
Weda Bay Nickel,Strand Minerals Indonesia,0.48075,127.99338,2700000.0,250.0,66.0,9,-1.42284841917101
Yashi Indonesia Investment,PT Fajar Bakti Lintas Nusantra,0.48073,127.99653,1800000.0,250.0,60.0,1,-0.004634089951865293
Yashi Indonesia Investment,PT Fajar Bakti Lintas Nusantra,0.48073,127.99653,1800000.0,250.0,66.0,9,-0.9302111418361126
Youshan Nickel Industry,Youshan Nickel Industry,0.48068,127.99945,1050000.0,250.0,60.0,1,-0.002397020135693875
Youshan Nickel Industry,Youshan Nickel Industry,0.48068,127.99945,1050000.0,250.0,66.0,9,-0.5403699768328971
Huafei Nickel Cobalt,Huafei Nickel Cobalt,0.471071383571861,127.943123210915,300000.0,,60.0,1,-0.0008732571012506357
Huafei Nickel Cobalt,Huafei Nickel Cobalt,0.471071383571861,127.943123210915,300000.0,,66.0,9,-0.1995594276850946
Huashan Nickel Cobalt,PT Huashan Nickel Cobalt,0.481106064991268,127.947138326664,10400000.0,,60.0,1,-0.029256199311490212
Huashan Nickel Cobalt,PT Huashan Nickel Cobalt,0.481106064991268,127.947138326664,10400000.0,,66.0,9,-6.11938716974472
Vale Indonesia Huayou (Sorowako HPAL),Vale Indonesia,-2.56850483849486,121.374867432,300000.0,,28.7,1,-2.7329537528357584
Vale Indonesia Huayou (Sorowako HPAL),Vale Indonesia,-2.56850483849486,121.374867432,300000.0,,31.57,9,-526.0549425315518
Antam HKBCL HPAL,ANTAM,0.843094760616897,128.249473362336,300000.0,,60.0,1,-0.0002782610400170332
Antam HKBCL HPAL,ANTAM,0.843094760616897,128.249473362336,300000.0,,66.0,9,-0.05573674331844056
Sambas Minerals Mining,Sambas Minerals Mining,-4.45935420048957,122.359915890572,2970000.0,,60.0,1,-17.28171420326121
Sambas Minerals Mining,Sambas Minerals Mining,-4.45935420048957,122.359915890572,2970000.0,,66.0,9,-3238.3533514387645
Asia Mining Minerals,Asia Mining Minerals,-4.28249428949051,121.579914856684,2000000.0,24.0,60.0,1,-12.129322153887951
Asia Mining Minerals,Asia Mining Minerals,-4.28249428949051,121.579914856684,2000000.0,24.0,66.0,9,-2150.945333899632
Surya Saga Utama,Surya Saga Utama,-5.12133354679023,121.883441022571,3500000.0,30.0,60.0,1,-10.945808993388336
Surya Saga Utama,Surya Saga Utama,-5.12133354679023,121.883441022571,3500000.0,30.0,66.0,9,-2407.784605525578
Integra Mining Nusantara,Integra Mining Nusantara,-4.43789965420115,122.485019596937,923760.0,,60.0,1,-4.96762425021151
Integra Mining Nusantara,Integra Mining Nusantara,-4.43789965420115,122.485019596937,923760.0,,66.0,9,-1036.4014640240275
Genba Multi Mineral,Genba Multi Mineral,-2.14061,121.54069,4124000.0,700.0,60.0,1,-38.22186351391479
Genba Multi Mineral,Genba Multi Mineral,-2.14061,121.54069,4124000.0,700.0,66.0,9,-7566.135725369981
Angkasa Jaya Mulia,PT Batulicin Enam Sembilan,-6.80679180785876,111.981989012801,1400000.0,,60.0,1,-2.197971943931862e-10
Angkasa Jaya Mulia,PT Batulicin Enam Sembilan,-6.80679180785876,111.981989012801,1400000.0,,66.0,9,-4.879229710549724e-08
Teka Mining Resources,Teka Mining Resources,0.45996536934158,127.92242429557,3000000.0,,60.0,1,-0.00875523666084706
Teka Mining Resources,Teka Mining Resources,0.45996536934158,127.92242429557,3000000.0,,66.0,9,-1.9316498048602853
First Pacific Mining,First Pacific Mining,-2.629209261240042,122.32511978235469,620000.0,41.0,60.0,1,-6.470986465201949
First Pacific Mining,First Pacific Mining,-2.629209261240042,122.32511978235469,620000.0,41.0,66.0,9,-1491.483890131907
Kinlin Nickel Industri,Kinlin Nickel Industri,-4.45663313945751,122.352577613714,123675.0,2.0,60.0,1,-0.6665308406835905
Kinlin Nickel Industri,Kinlin Nickel Industri,-4.45663313945751,122.352577613714,123675.0,2.0,66.0,9,-139.2879608259581
Mahkota Konaweeha,Mahkota Konaweeha,-4.00619632489727,122.636653236766,1343628.0,,60.0,1,-10.268082421786392
Mahkota Konaweeha,Mahkota Konaweeha,-4.00619632489727,122.636653236766,1343628.0,,66.0,9,-1889.6516096450493
Ocean Sky Metal Industry,Ocean Sky Metal Industry,-2.86157384070335,122.158853566739,300000.0,,60.0,1,-3.2655697592164827
Ocean Sky Metal Industry,Ocean Sky Metal Industry,-2.86157384070335,122.158853566739,300000.0,,66.0,9,-701.9988973722478
Zhao Hui Nickel,PT Merdeka Industri Mineral,-2.85963986226067,122.155000831011,300000.0,,60.0,1,-2.969094011293501
Zhao Hui Nickel,PT Merdeka Industri Mineral,-2.85963986226067,122.155000831011,300000.0,,66.0,9,-664.9626659541198
Sunny Metal Industry,Sunny Metal Industry,0.487106858706739,127.981324757247,300000.0,380.0,60.0,1,-0.0007931860546096786
Sunny Metal Industry,Sunny Metal Industry,0.487106858706739,127.981324757247,300000.0,380.0,66.0,9,-0.1660410147149013
Obi Nickel Cobalt,Lygend New Power Ltd /Harita Nickel.,-1.53389444850468,127.41908725139,300000.0,1520.0,60.0,1,-0.013500431496161239
Obi Nickel Cobalt,Lygend New Power Ltd /Harita Nickel.,-1.53389444850468,127.41908725139,300000.0,1520.0,66.0,9,-2.7428627995985075
Perkasa Metal Industry,Eternal Tsingshan Group,0.488145455865328,127.970546796433,1800000.0,206.0,60.0,1,-0.004933165053036981
Perkasa Metal Industry,Eternal Tsingshan Group,0.488145455865328,127.970546796433,1800000.0,206.0,66.0,9,-0.9957087458276207
Halmahera Jaya Feronikel,Harita Nickel,-1.56014879697201,127.427420671122,8700000.0,1074.0,60.0,1,-0.4201778325393352
Halmahera Jaya Feronikel,Harita Nickel,-1.56014879697201,127.427420671122,8700000.0,1074.0,66.0,9,-86.15485279849665
Alchemist Metal Industry,Gunbuster Nickel Industry,-2.629209261240042,122.32511978235469,3031621.0,2202.0,60.0,1,-32.038250997128294
Alchemist Metal Industry,Gunbuster Nickel Industry,-2.629209261240042,122.32511978235469,3031621.0,2202.0,66.0,9,-6846.996306473098
Karunia Permai Sentosa,PT Karunia Permai Sentosa,-1.56863134432775,127.428752314741,300000.0,,60.0,1,-0.01453235379130357
Karunia Permai Sentosa,PT Karunia Permai Sentosa,-1.56863134432775,127.428752314741,300000.0,,66.0,9,-2.818486786855441
PT Metal Smelt Indo Selaras,PT Metal Smelt Indo Selaras,-3.04298747012378,122.264709376272,300000.0,130.0,60.0,1,-3.4648556111376516
PT Metal Smelt Indo Selaras,PT Metal Smelt Indo Selaras,-3.04298747012378,122.264709376272,300000.0,130.0,66.0,9,-662.0839032355511
Ceria Nugraha Indotama (HPAL),Ceria Nugraha Indotama,-3.86572286265205,121.309797637587,300000.0,,60.0,1,-1.849788065062649
Ceria Nugraha Indotama (HPAL),Ceria Nugraha Indotama,-3.86572286265205,121.309797637587,300000.0,,66.0,9,-414.58609992436135
PT Huaneng Metal Industry,PT Merdeka Battery Materials,-2.83568870469587,122.163299666395,300000.0,,60.0,1,-3.0793774588459226
PT Huaneng Metal Industry,PT Merdeka Battery Materials,-2.83568870469587,122.163299666395,300000.0,,66.0,9,-686.6227302100292
PT ESG New Energy Material,PT Merdeka Battery Materials,-2.85718814631921,122.172082174176,300000.0,,60.0,1,-3.4201621973889007
PT ESG New Energy Material,PT Merdeka Battery Materials,-2.85718814631921,122.172082174176,300000.0,,66.0,9,-632.6836566765114
Oracle Nickel,Nickel Industries,-2.86090888374523,122.155868800702,300000.0,,60.0,1,-3.3839088929425167
Oracle Nickel,Nickel Industries,-2.86090888374523,122.155868800702,300000.0,,66.0,9,-672.439487104114
PT Andalan Metal Industry,PT Andalan Metal Industry,0.484250049328921,127.986313601741,1800000.0,,60.0,1,-0.0048534976441533895
PT Andalan Metal Industry,PT Andalan Metal Industry,0.484250049328921,127.986313601741,1800000.0,,66.0,9,-1.0416102312311712
PT Langit Metal Industry,PT Langit Metal Industry,0.485177317918801,127.984867275989,3600000.0,,60.0,1,-0.00922890617451922
PT Langit Metal Industry,PT Langit Metal Industry,0.485177317918801,127.984867275989,3600000.0,,66.0,9,-1.8349395546087224
PT Lipe Metal Industry,Tsingshan Holding Group,0.483352214536535,127.990803625506,3600000.0,,60.0,1,-0.008828784459517484
PT Lipe Metal Industry,Tsingshan Holding Group,0.483352214536535,127.990803625506,3600000.0,,66.0,9,-1.808698803670535
PT Mazinger Nickel Industry,PT Mazinger Nickel Industry,-2.0169409880138,121.420463318436,2789000.0,,60.0,1,-23.94097004024431
PT Mazinger Nickel Industry,PT Mazinger Nickel Industry,-2.0169409880138,121.420463318436,2789000.0,,66.0,9,-4988.366664381209
PT Infei Metal Industry,PT Infei Metal Industry,0.4823857761,127.9905995,1800000.0,,60.0,1,-0.004691585737566885
PT Infei Metal Industry,PT Infei Metal Industry,0.4823857761,127.9905995,1800000.0,,66.0,9,-0.9834373884870177
PT Kao Rahai Smelters,PT Kao Rahai Smelters,0.47487682499693,127.959619795786,1800000.0,,60.0,1,-0.005012974531744922
PT Kao Rahai Smelters,PT Kao Rahai Smelters,0.47487682499693,127.959619795786,1800000.0,,66.0,9,-1.0966693469657836
PT Maluku Utara Metal Industry,PT Maluku Utara Metal Industry,0.581864352141389,127.946949735709,1800000.0,,60.0,1,-0.004443549126865616
PT Maluku Utara Metal Industry,PT Maluku Utara Metal Industry,0.581864352141389,127.946949735709,1800000.0,,66.0,9,-1.0439758744920637
PT Jiu Long Metal Industry,ANTAM,0.487616462055293,127.985763953548,1800000.0,,60.0,1,-0.004793557125868679
