Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Macika Mineral Industri,Macika Mineral Industri,-4.45508381223903,122.360989755698,1105056.0,0.0,0.0,3.0,0.0,0.0,66.0,9,-0.003157080661148707,-0.003978565935223115,-0.0013369270146701157,-0.010421587692669456,8364.86239481183,2.496670931010457,3.6080921841699505,-1.8911879613544371
Mapan Asri Sejahtera,Mapan Asri Sejahtera,-4.27126551488023,121.565690265067,210000.0,3.0,0.0,0.0,0.0,0.0,60.0,1,0.01048453260823069,0.007990521387335168,0.004081738197859523,0.0018264048885337527,179.63556853771377,0.053616052599002206,0.07748384375597739,-1.3629546480683128
Mapan Asri Sejahtera,Mapan Asri Sejahtera,-4.27126551488023,121.565690265067,210000.0,3.0,0.0,0.0,0.0,0.0,66.0,9,-0.0006779836328648021,-0.0008543977414163577,-0.00028710531391723765,-0.0022380378084873825,1796.3556853771377,0.5361605259900221,0.7748384375597738,-0.4061329506870225
Megah Surya Pertiwi,Megah Surya Pertiwi,-1.52952559965166,127.422421955604,2173500.0,120.0,0.0,0.0,0.0,0.0,60.0,1,9.853944850002328,0.06380022563938056,0.03656243700102963,0.0026501632188665773,474.5706168540355,0.04416938698110963,0.08588491912993539,-0.3805928844872279
Megah Surya Pertiwi,Megah Surya Pertiwi,-1.52952559965166,127.422421955604,2173500.0,120.0,0.0,0.0,0.0,0.0,66.0,9,-0.0002453854832283868,-0.017422369309215462,-0.0006134637080709671,-0.0001226927416141934,4745.706168540355,0.44169386981109626,0.8588491912993538,-0.33347887170737767
Obsidian Stainless Steel,PT Obsidian Stainless Steel,-3.87107080589466,122.40347199787,10800000.0,1780.0,0.0,0.0,0.0,0.0,60.0,1,0.4551734587035238,0.34689894081330913,0.17720378794792413,0.07929118647161351,7798.663621237317,2.327676875587139,3.363868516977543,-59.17104790444158
Obsidian Stainless Steel,PT Obsidian Stainless Steel,-3.87107080589466,122.40347199787,10800000.0,1780.0,0.0,0.0,0.0,0.0,66.0,9,-0.0294338495235535,-0.03709265730774344,-0.012464334237015004,-0.09716173796805672,77986.63621237317,23.27676875587139,33.63868516977543,-17.63177690081845
QMB New Energy Materials Indonesia,GEM,-2.86010717942546,122.171462609067,4450000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.424562359551944,1.8230321592358716,7.133161295392434,5.747178623930623,1402.8314384423618,0.42066566705709935,0.8634716323803618,-0.04844297260636492
QMB New Energy Materials Indonesia,GEM,-2.86010717942546,122.171462609067,4450000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.2878238774601206,0.2488569525116735,-0.025239940023425958,-0.1660522369962234,14028.314384423617,4.206656670570993,8.634716323803618,-9.886085981807156
Ranger Nickel Industry,Nickel Industries,-2.85105650826125,122.163937924412,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.17190079259246568,0.7381263695277235,2.8881412889779203,2.3269716177071467,567.9915581691291,0.17032306316525075,0.34961049807604105,-0.019614045379240455
Ranger Nickel Industry,Nickel Industries,-2.85105650826125,122.163937924412,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.11653683269201366,0.10075953841986413,-0.010219383789915043,-0.06723278809154634,5679.915581691291,1.7032306316525074,3.49610498076041,-4.002771271818303
Sinar Deli Bantaeng,Sinar Deli Bantaeng,-5.58047426678859,120.068267466755,2400000.0,0.0,0.0,23.0,0.0,0.0,60.0,1,0.054489300477487866,0.041527642396237865,0.021213254557385576,0.009492032547711513,933.5863444033539,0.278648682745319,0.40269228990291267,-7.0834292887297154
Sinar Deli Bantaeng,Sinar Deli Bantaeng,-5.58047426678859,120.068267466755,2400000.0,0.0,0.0,23.0,0.0,0.0,66.0,9,-0.0035235575366504854,-0.004440401589554438,-0.0014921187527652568,-0.011631335337820736,9335.863444033539,2.78648682745319,4.026922899029127,-2.1107188284598646
Smelter Nikel Indonesia,Smelter Nikel Indonesia,-6.211031,106.456376,2401920.0,0.0,0.0,2.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smelter Nikel Indonesia,Smelter Nikel Indonesia,-6.211031,106.456376,2401920.0,0.0,0.0,2.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulawesi Mining Investment,Sulawesi Mining Investment,-2.82450203373249,122.162005624412,3000000.0,640.0,0.0,0.0,0.0,0.0,60.0,1,0.2869532876050021,1.232151319430323,4.8211624009480385,3.884404171699335,948.1459770515509,0.2843195903470505,0.5836033696597352,-0.032741645456807716
Sulawesi Mining Investment,Sulawesi Mining Investment,-2.82450203373249,122.162005624412,3000000.0,640.0,0.0,0.0,0.0,0.0,66.0,9,0.19453445655324508,0.16819748397372883,-0.01705917542082303,-0.11223141724225678,9481.459770515508,2.843195903470505,5.836033696597353,-6.681809656934999
Sulawesi Resources,Sulawesi Resources,-2.70055948941961,121.98016583085,2400000.0,60.0,0.0,0.0,0.0,0.0,60.0,1,0.23094590832511075,0.9916607265065509,3.8801706687622124,3.1262483772962164,763.087385137012,0.2288262545983054,0.46969599628073216,-0.02635114974005749
Sulawesi Resources,Sulawesi Resources,-2.70055948941961,121.98016583085,2400000.0,60.0,0.0,0.0,0.0,0.0,66.0,9,0.15656533209357737,0.13536879482552383,-0.013729575275898322,-0.09032615313091003,7630.87385137012,2.288262545983054,4.6969599628073215,-5.3776578528018595
Teluk Metal Industry,Teluk Metal Industry,-2.83606038957607,122.118785655752,8000000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.7661806045991049,3.289909834308005,12.872761117529183,10.371566611484962,2531.600400918017,0.7591484922498433,1.5582521683023098,-0.08742194216013985
Teluk Metal Industry,Teluk Metal Industry,-2.83606038957607,122.118785655752,8000000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.5194173894341032,0.4490962659414862,-0.04554890953499059,-0.29966387851967496,25316.004009180167,7.591484922498432,15.582521683023097,-17.84078867154737
Titan Mineral Utama,Titan Mineral Utama,-5.56626059272201,120.048542928533,1094000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.024716593974977767,0.018837127047904533,0.009622428535293225,0.004305629039521037,423.479002538028,0.12639630703139407,0.18266305016149853,-3.213075670742573
