Smelter,Regency,Year,Year_Scaled,Latitude,Longitude,Coal_MW,CO2_Mt,RE_share_pct,GHG_Intensity,Target_PDRB_Smelter
Sunny Metal Industry,Central Halmahera Regency,2035,1.0,0.487106858706739,127.981324757247,380.0,2.396736,0.0,43.6,-0.0005806165134829856
Fajar Bhakti Lintas Nusantara,Central Halmahera Regency,2020,0.0,-0.0695553166834322,129.3921427,300.0,1.89216,0.0,70.0,0.15922404597553536
Fajar Bhakti Lintas Nusantara,Central Halmahera Regency,2024,0.26666666666666666,-0.0695553166834322,129.3921427,300.0,1.89216,0.0,70.0,0.2803709995633599
Fajar Bhakti Lintas Nusantara,Central Halmahera Regency,2029,0.6,-0.0695553166834322,129.3921427,300.0,1.89216,0.0,70.0,-0.0011724624522425919
Fajar Bhakti Lintas Nusantara,Central Halmahera Regency,2035,1.0,-0.0695553166834322,129.3921427,300.0,1.89216,0.0,70.0,-0.00045838145801288326
Debonair Nickel Industry,Central Halmahera Regency,2020,0.0,0.487668817784395,127.977118715487,0.0,1.87,0.0,68.0,0.1573592962404084
Debonair Nickel Industry,Central Halmahera Regency,2024,0.26666666666666666,0.487668817784395,127.977118715487,0.0,1.87,0.0,68.0,0.27708743931986884
Debonair Nickel Industry,Central Halmahera Regency,2029,0.6,0.487668817784395,127.977118715487,0.0,1.87,0.0,68.0,-0.0011587311779625647
Debonair Nickel Industry,Central Halmahera Regency,2035,1.0,0.487668817784395,127.977118715487,0.0,1.87,0.0,68.0,-0.00045301313128070126
Jade Bay Metal Industry,Central Halmahera Regency,2020,0.0,0.489091049722045,127.977085187476,0.0,1.87,0.0,68.0,0.1573592962404084
Jade Bay Metal Industry,Central Halmahera Regency,2024,0.26666666666666666,0.489091049722045,127.977085187476,0.0,1.87,0.0,68.0,0.27708743931986884
Jade Bay Metal Industry,Central Halmahera Regency,2029,0.6,0.489091049722045,127.977085187476,0.0,1.87,0.0,68.0,-0.0011587311779625647
Jade Bay Metal Industry,Central Halmahera Regency,2035,1.0,0.489091049722045,127.977085187476,0.0,1.87,0.0,68.0,-0.00045301313128070126
PT Andalan Metal Industry,Central Halmahera Regency,2020,0.0,0.484250049328921,127.986313601741,0.0,1.632,0.0,68.0,0.1373317494461746
PT Andalan Metal Industry,Central Halmahera Regency,2024,0.26666666666666666,0.484250049328921,127.986313601741,0.0,1.632,0.0,68.0,0.24182176522461277
PT Andalan Metal Industry,Central Halmahera Regency,2029,0.6,0.484250049328921,127.986313601741,0.0,1.632,0.0,68.0,-0.001011256300767329
PT Andalan Metal Industry,Central Halmahera Regency,2035,1.0,0.484250049328921,127.986313601741,0.0,1.632,0.0,68.0,-0.0003953569145722483
Huashan Nickel Cobalt,Central Halmahera Regency,2020,0.0,0.481106064991268,127.947138326664,0.0,1.608,0.0,13.4,0.13531216489549558
Huashan Nickel Cobalt,Central Halmahera Regency,2024,0.26666666666666666,0.481106064991268,127.947138326664,0.0,1.608,0.0,13.4,0.23826556279483907
Huashan Nickel Cobalt,Central Halmahera Regency,2029,0.6,0.481106064991268,127.947138326664,0.0,1.608,0.0,13.4,-0.0009963848845795744
Huashan Nickel Cobalt,Central Halmahera Regency,2035,1.0,0.481106064991268,127.947138326664,0.0,1.608,0.0,13.4,-0.0003895428422991271
Huake Nickel Indonesia,Central Halmahera Regency,2020,0.0,0.487095939709902,127.993195587294,250.0,1.5768,0.0,35.0,0.1326867049796128
Huake Nickel Indonesia,Central Halmahera Regency,2024,0.26666666666666666,0.487095939709902,127.993195587294,250.0,1.5768,0.0,35.0,0.23364249963613323
Huake Nickel Indonesia,Central Halmahera Regency,2029,0.6,0.487095939709902,127.993195587294,250.0,1.5768,0.0,35.0,-0.000977052043535493
Huake Nickel Indonesia,Central Halmahera Regency,2035,1.0,0.487095939709902,127.993195587294,250.0,1.5768,0.0,35.0,-0.0003819845483440694
Weda Bay Nickel,Central Halmahera Regency,2020,0.0,0.48075,127.99338,250.0,1.5768,0.0,52.6,0.1326867049796128
Weda Bay Nickel,Central Halmahera Regency,2024,0.26666666666666666,0.48075,127.99338,250.0,1.5768,0.0,52.6,0.23364249963613323
Weda Bay Nickel,Central Halmahera Regency,2029,0.6,0.48075,127.99338,250.0,1.5768,0.0,52.6,-0.000977052043535493
Weda Bay Nickel,Central Halmahera Regency,2035,1.0,0.48075,127.99338,250.0,1.5768,0.0,52.6,-0.0003819845483440694
